post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49477854,U.S. sanctions against the A/I Collective,technology,704,762,exiguus,2026-08-30 22:09:33.686935,1.0808510638297872,True
49485416,I accidentally turned LLM memory into program analysis,technology,298,80,matt_d,2026-08-30 22:09:33.686935,0.26755852842809363,True
49495845,The Internet Archive's Vintage AI Collection,technology,23,1,OuterVale,2026-08-30 22:09:33.686935,0.041666666666666664,False
49491714,Calibrate Before You Accelerate: Bias Toward Action in a New Role,worldnews,169,71,tuckerwales,2026-08-30 22:09:35.688205,0.4176470588235294,True
49491175,Trees for a Changing Climate and Resilient Urban Forest (2022),worldnews,58,14,mooreds,2026-08-30 22:09:35.688205,0.23728813559322035,False
49485532,Does the Sumerian King List Align with Paleoclimate Events?,worldnews,133,80,dev_l1x_be,2026-08-30 22:09:35.688205,0.5970149253731343,True
49475979,Interactive Warhammer 40k Galaxy Map,worldnews,157,57,gbxyz,2026-08-30 22:09:35.688205,0.36075949367088606,True
49441316,Global demand for sand spawned a worldwide boom in illegal mining (2015),worldnews,77,29,EndXA,2026-08-30 22:09:35.688205,0.3717948717948718,False
49490702,GrapheneOS project: pixel 11 no longer supports hardware memory tagging (MTE),worldnews,301,175,400thecat,2026-08-30 22:09:35.688205,0.5794701986754967,True
49468834,Previewing the Model Hardware Standard,worldnews,134,59,surprisetalk,2026-08-30 22:09:35.688205,0.43703703703703706,True
49464391,"US Government designates host of noblogs.org a ""global terrorist""",worldnews,279,157,robtherobber,2026-08-30 22:09:35.688205,0.5607142857142857,True
49489939,Global Trade and the United States Navy,worldnews,7,2,Pwntheon,2026-08-30 22:09:35.688205,0.25,False
49432201,How credit card rewards became a $9.2B wealth transfer,worldnews,255,451,conbrian,2026-08-30 22:09:35.688205,1.76171875,True
49496513,"What happens to a country when everyone leaves? Tuvalu, an island nation [video]",worldnews,6,0,thelastgallon,2026-08-30 22:09:35.688205,0.0,False
49495171,No Country for Mediocre Mathematicians,worldnews,30,8,reasonableklout,2026-08-30 22:09:35.688205,0.25806451612903225,False
49479898,"Barrier lake continues to pose flood risk, China warns",worldnews,89,23,r721,2026-08-30 22:09:35.688205,0.25555555555555554,False
49492432,Warp builds self-improving agents on Claude,worldnews,58,57,shenli3514,2026-08-30 22:09:35.688205,0.9661016949152542,False
49425800,Vintage Artificial Intelligence: Before It Got Awkward,worldnews,163,31,signor_bosco,2026-08-30 22:09:35.688205,0.18902439024390244,True
49422227,Characterizing Agentic Flooding of Government Services,worldnews,82,87,lensecat,2026-08-30 22:09:35.688205,1.0481927710843373,False
49495977,America's long march toward Chinese-style surveillance state,worldnews,10,1,pir8life4me,2026-08-30 22:09:35.688205,0.09090909090909091,False
49475404,"Climate change is strengthening El Niño, coral records suggest",worldnews,121,123,shymaple,2026-08-30 22:09:35.688205,1.0081967213114753,False
49454366,Six government passport CAs that Python rejects and OpenSSL accepts,worldnews,18,6,Eginn-33,2026-08-30 22:09:35.688205,0.3157894736842105,False
